Sample name,Cruise series,GEOTRACES section,Cruise ID,Cruise Station,Collection Date,Depth (m),env_biome,env_feature,env_material,geo_loc_name,Latitude,Longitude,Bottle ID,NCBI BioProject,NCBI SRA Study,NCBI BioSample,NCBI SRA Accession,Total read pairs,Total bases,NCBI SRA Accession for assembled metagenome contigs,Assembly method and version
S0316,GEOTRACES,GP13,SS2011,38,2011-05-31T18:10:31,15.5,ocean_biome,ocean,water,Pacific Ocean,32.5001,170,1223312,PRJNA385854,SRP110813,SAMN07136783,SRR5788275,18395560,5518668000,SRZ187506,metaSPAdes v3.9.0
S0317,GEOTRACES,GP13,SS2011,38,2011-05-31T18:10:31,28.4,ocean_biome,ocean,water,Pacific Ocean,32.5001,170,1223306,PRJNA385854,SRP110813,SAMN07136784,SRR5788276,17523352,5257005600,SRZ187507,metaSPAdes v3.9.0
S0318,GEOTRACES,GP13,SS2011,38,2011-05-31T18:10:31,48.6,ocean_biome,ocean,water,Pacific Ocean,32.5001,170,1223300,PRJNA385854,SRP110813,SAMN07136785,SRR5788277,41600731,12480219300,SRZ187508,metaSPAdes v3.9.0
S0319,GEOTRACES,GP13,SS2011,38,2011-05-31T18:10:31,76,ocean_biome,ocean,water,Pacific Ocean,32.5001,170,1224245,PRJNA385854,SRP110813,SAMN07136786,SRR5788278,31928004,9578401200,SRZ187509,metaSPAdes v3.9.0
S0320,GEOTRACES,GP13,SS2011,38,2011-05-31T18:10:31,100.3,ocean_biome,ocean,water,Pacific Ocean,32.5001,170,1223297,PRJNA385854,SRP110813,SAMN07136787,SRR5788271,29330937,8799281100,SRZ187510,metaSPAdes v3.9.0
S0321,GEOTRACES,GP13,SS2011,38,2011-05-31T18:10:31,1001.5,ocean_biome,ocean,water,Pacific Ocean,32.5001,170,1222625,PRJNA385854,SRP110813,SAMN07136788,SRR5788272,13772733,4131819900,SRZ187511,metaSPAdes v3.9.0
S0331,GEOTRACES,GP13,TAN1109,GT8,2011-06-13T22:40:00,50,ocean_biome,ocean,water,Pacific Ocean,32.49567,164.99233,1154516,PRJNA385854,SRP110813,SAMN07136794,SRR5788417,35104271,10531281300,SRZ187517,metaSPAdes v3.9.0
S0332,GEOTRACES,GP13,TAN1109,GT8,2011-06-13T22:40:00,75,ocean_biome,ocean,water,Pacific Ocean,32.49567,164.99233,1154510,PRJNA385854,SRP110813,SAMN07136795,SRR5788416,18683493,5605047900,SRZ187518,metaSPAdes v3.9.0
S0333,GEOTRACES,GP13,TAN1109,GT8,2011-06-13T22:40:00,100,ocean_biome,ocean,water,Pacific Ocean,32.49567,164.99233,1154504,PRJNA385854,SRP110813,SAMN07136796,SRR5788415,19783515,5935054500,SRZ187519,metaSPAdes v3.9.0
S0334,GEOTRACES,GP13,TAN1109,GT8,2011-06-13T22:40:00,204,ocean_biome,ocean,water,Pacific Ocean,32.49567,164.99233,1154486,PRJNA385854,SRP110813,SAMN07136797,SRR5788422,31611680,9483504000,SRZ187520,metaSPAdes v3.9.0
